,Rank,Country,particulate matter (PM2.5) in (μg/m3)WHO-Guideline=5,Loss of life expectancy(years)
185,186,Antigua and Barbuda,1.75,0.00
186,187,Fiji,1.52,0.00
187,188,Tuvalu,1.26,0.00
188,189,Tonga,1.03,0.00
189,190,Nauru,1.00,0.00
190,191,Greenland,0.90,0.00
191,192,Samoa,0.84,0.00
192,193,Kiribati,0.81,0.00
193,194,Federated States of Micronesia,0.60,0.00
194,195,Marshall Islands,0.56,0.00
